# Tamanoir dataset for file '/Users/tof/Sources/Tamanoir-svn/tamanoir/dataset/ColorSlide-DustInSky-Tree.png'

Path	/Users/tof/Sources/Tamanoir-svn/tamanoir/dataset/ColorSlide-DustInSky-Tree.png
Size	2551x437
Channels	3
Depth	3

[Settings]
FilmType	2
Dpi	2400
HotPixels	70
Trust	70

[Dusts]
#Dust	Position	Seed	Forced
Dust	2267,0+12x12	2272,0	F
Dust	2443,0+10x10	2447,0	F
Dust	2385,0+10x12	2389,5	F
Dust	2242,2+12x10	2247,6	F
Dust	2019,5+10x12	2023,9	F
Dust	2477,13+12x12	2482,17	F
Dust	0,29+10x10	2,33	F
Dust	979,61+12x10	984,65	F
Dust	2344,62+10x10	2348,67	F
Dust	1712,71+12x10	1717,75	F
Dust	2205,73+12x12	2210,78	F
Dust	2027,86+12x10	2032,91	F
Dust	2509,93+12x12	2514,98	F
Dust	569,106+12x10	574,110	F
Dust	1978,146+12x10	1983,151	F
Dust	2178,147+12x12	2182,153	F
Dust	883,153+12x10	887,156	F
Dust	796,155+12x10	801,160	F
Dust	1858,160+10x12	1863,164	F
Dust	1702,168+12x10	1707,172	F
Dust	572,169+12x12	577,174	F
Dust	1120,171+10x10	1124,175	F
Dust	307,171+12x10	312,176	F
Dust	1079,185+12x10	1084,189	F
Dust	2426,190+12x10	2431,194	F
Dust	700,190+12x12	705,195	F
Dust	1374,212+18x10	1380,216	F
Dust	682,220+10x10	686,224	F
Dust	1976,221+12x12	1981,226	F
Dust	699,226+10x12	703,230	F
Dust	1746,226+12x12	1751,231	F
Dust	2172,228+12x10	2175,231	F
Dust	1174,237+12x10	1179,242	F
Dust	1449,240+12x12	1453,244	F
Dust	897,252+12x10	902,257	F
Dust	1912,259+10x12	1916,263	F
Dust	180,280+12x10	184,284	F
Dust	545,296+10x12	549,300	F
Dust	2219,325+10x12	2223,329	F
Dust	2268,344+12x12	2273,349	F
Dust	2532,347+10x14	2535,351	F
Dust	1624,366+10x10	1629,370	F
Dust	2286,373+12x12	2291,377	F
Dust	2505,400+12x12	2510,405	F
Dust	2049,402+10x12	2053,406	F
Dust	2519,413+10x12	2523,418	F
Dust	2473,405+12x12	2370,284	T
Dust	2500,390+16x16	2396,268	T
Dust	2432,423+10x10	2329,294	T
Dust	1835,-28+16x16	1726,-115	T
Dust	2283,-309+16x16	2171,-325	T
Dust	2282,-71+16x16	2263,-90	T
Dust	2421,-16+22x22	2339,-44	T
Dust	2425,-175+16x16	2329,-207	T
Dust	2426,-92+16x16	2324,-120	T
Dust	1836,27+16x16	1741,-59	T
Dust	2280,-133+16x16	2176,-151	T
Dust	2425,-213+16x16	2345,-243	T
Dust	2426,-76+16x16	2314,-105	T
Dust	1835,88+16x16	1782,38	T
Dust	2424,3+16x16	2258,-28	T
Dust	2425,31+16x16	2258,28	T

[Stats]
